Date,Open,High,Low,Close,Volume,Currency
2010-01-04,30.62,31.1,30.59,30.95,38414184,USD
2010-01-05,30.85,31.1,30.64,30.96,49758864,USD
2010-01-06,30.88,31.08,30.52,30.77,58182332,USD
2010-01-07,30.63,30.7,30.19,30.45,50564284,USD
2010-01-08,30.28,30.88,30.24,30.66,51201288,USD
2010-01-11,30.71,30.76,30.12,30.27,68754648,USD
2010-01-12,30.15,30.4,29.91,30.07,65913228,USD
2010-01-13,30.26,30.52,30.01,30.35,51863464,USD
2010-01-14,30.31,31.1,30.26,30.96,63244768,USD
2010-01-15,31.08,31.24,30.71,30.86,79915648,USD
2010-01-19,30.75,31.24,30.68,31.1,46582888,USD
2010-01-20,30.81,30.94,30.31,30.59,54857712,USD
2010-01-21,30.61,30.72,30.0,30.01,73086704,USD
2010-01-22,30.0,30.2,28.84,28.96,102004576,USD
2010-01-25,29.24,29.66,29.1,29.32,63381172,USD
2010-01-26,29.2,29.85,29.09,29.5,66647676,USD
2010-01-27,29.35,29.82,29.02,29.67,63949492,USD
2010-01-28,29.84,29.87,28.89,29.16,117513696,USD
2010-01-29,29.9,29.92,27.66,28.18,193888416,USD
2010-02-01,28.39,28.48,27.92,28.41,85931096,USD
2010-02-02,28.37,28.5,28.14,28.46,54413656,USD
2010-02-03,28.26,28.79,28.12,28.63,61397848,USD
2010-02-04,28.38,28.5,27.81,27.84,77849968,USD
2010-02-05,28.0,28.28,27.57,28.02,80960064,USD
2010-02-08,28.01,28.08,27.57,27.72,52826472,USD
2010-02-09,27.97,28.34,27.75,28.01,59195744,USD
2010-02-10,28.03,28.24,27.84,27.99,48591248,USD
2010-02-11,27.93,28.4,27.7,28.12,65995912,USD
2010-02-12,27.81,28.06,27.58,27.93,81121512,USD
2010-02-16,28.13,28.37,28.02,28.35,51938096,USD
2010-02-17,28.53,28.65,28.36,28.59,45882840,USD
2010-02-18,28.59,29.03,28.51,28.97,42856500,USD
2010-02-19,28.79,28.92,28.69,28.77,44461632,USD
2010-02-22,28.84,28.94,28.65,28.73,36710352,USD
2010-02-23,28.68,28.83,28.09,28.33,52270044,USD
2010-02-24,28.52,28.79,28.38,28.63,43166876,USD
2010-02-25,28.27,28.65,28.02,28.6,48735296,USD
2010-02-26,28.65,28.85,28.51,28.67,40372888,USD
2010-03-01,28.77,29.05,28.53,29.02,43805304,USD
2010-03-02,29.08,29.3,28.24,28.46,93129840,USD
2010-03-03,28.51,28.61,28.35,28.46,48442080,USD
2010-03-04,28.46,28.65,28.27,28.63,42894184,USD
2010-03-05,28.66,28.68,28.42,28.59,56005056,USD
2010-03-08,28.52,28.93,28.5,28.63,39421396,USD
2010-03-09,28.56,29.11,28.55,28.8,50278456,USD
2010-03-10,28.86,29.11,28.8,28.97,44898608,USD
2010-03-11,28.89,29.19,28.85,29.18,35353652,USD
2010-03-12,29.32,29.38,29.04,29.27,31709320,USD
2010-03-15,29.18,29.37,29.01,29.29,37516752,USD
2010-03-16,29.42,29.49,29.2,29.37,36732936,USD
2010-03-17,29.5,29.87,29.4,29.63,50386696,USD
2010-03-18,29.63,29.72,29.5,29.61,43845200,USD
2010-03-19,29.76,29.9,29.35,29.59,81341088,USD
2010-03-22,29.5,29.7,29.39,29.6,37718160,USD
2010-03-23,29.59,29.9,29.41,29.88,42026556,USD
2010-03-24,29.72,29.85,29.6,29.65,33993584,USD
