Date,Open,High,Low,Close,Volume,Currency
2010-01-05,2.97,2.97,2.97,2.97,500,USD
2010-01-11,3.14,3.19,3.1,3.1,1815,USD
2010-01-12,3.0,3.0,3.0,3.0,500,USD
2010-01-13,2.9,2.9,2.83,2.83,13500,USD
2010-01-14,2.78,2.78,2.75,2.75,3285,USD
2010-01-15,2.76,2.76,2.74,2.74,1100,USD
2010-01-20,2.7,2.7,2.7,2.7,1000,USD
2010-01-21,2.7,2.7,2.7,2.7,2300,USD
2010-01-26,2.81,2.81,2.81,2.81,2500,USD
2010-01-27,2.8,2.8,2.75,2.75,4278,USD
2010-02-02,2.92,2.92,2.9,2.9,6700,USD
2010-02-03,2.95,2.95,2.95,2.95,1000,USD
2010-02-05,2.75,2.75,2.75,2.75,300,USD
2010-02-10,2.65,2.65,2.65,2.65,300,USD
2010-02-11,2.62,2.65,2.55,2.55,2500,USD
2010-02-16,2.57,2.57,2.57,2.57,1000,USD
2010-03-02,2.39,2.39,2.39,2.39,148,USD
2010-03-03,2.41,2.41,2.41,2.41,500,USD
2010-03-05,2.55,2.55,2.55,2.55,100,USD
2010-03-10,2.49,2.51,2.49,2.51,300000,USD
2010-03-12,2.55,2.55,2.55,2.55,100,USD
2010-03-16,2.55,2.55,2.55,2.55,3840,USD
2010-03-17,2.5,2.5,2.5,2.5,300,USD
2010-03-18,2.55,2.55,2.55,2.55,2800,USD
2010-03-19,2.74,2.74,2.7,2.7,97672,USD
2010-03-22,2.74,2.8,2.74,2.8,272,USD
2010-03-23,2.76,2.76,2.7,2.7,200700,USD
2010-03-24,2.64,2.64,2.64,2.64,35563,USD
2010-03-29,2.79,2.79,2.79,2.79,500,USD
2010-03-30,2.77,2.77,2.65,2.65,900,USD
2010-04-06,2.85,2.85,2.85,2.85,500,USD
2010-04-08,2.81,2.81,2.81,2.81,500,USD
2010-04-09,2.92,2.94,2.92,2.94,130209,USD
2010-04-13,2.95,2.95,2.95,2.95,500,USD
2010-04-16,2.98,2.98,2.98,2.98,600,USD
2010-04-20,2.91,2.91,2.87,2.87,5400,USD
